In JSON,Response ID,S1,S3,S5,S6,S8,S10,P4,P8,P9,C3,C7,SM3,SC8,SC9
84,R_1OB0LxI7A9lN4v1,"['DependencyTracker', 'Provenance', 'Security', 'Versioning']","['Name', 'Version', 'Author']",,,['ClarifiedStandards'],,,['BadAnswer'],['FastReleases'],['VulnerabilityDetection'],['DynamicVulnerabilityData'],,['ToolAssisted'],['OwnTool']
229,R_11db8BgtVC2jgQK,['DependencyTracker'],"['Name', 'Identifier', 'Version']",['BadAnswer'],['BadAnswer'],['BadAnswer'],['NotRecalculable'],"['Licensing', 'DependencyManagement', 'LocateSecurityIssues']",,['NotBackwardCompatible'],,,,['BadAnswer'],['PackageManager']
235,R_2yl8CXmByyorHTE,['DependencyTracker'],['Version'],['KeepingUpdated'],['Tooling'],['BadAnswer'],,,"['ToolAssisted', 'ContinuousIntegration']",['UnavailableInformation'],,['PoorQualitySboms'],['BadAnswer'],['ToolAssisted'],['PackageManager']
236,R_OxHDuxOp8wX3Co1,['Licensing'],"['Version', 'License', 'Vulnerabilities']",,,,['ShouldNotBe'],['Licensing'],['BadAnswer'],['ContributionIssues'],,,,['CodeReview'],"['SBOM', 'PackageManager']"
238,R_1dKyAHvfmPtEwpX,"['Versioning', 'Compliance', 'Security', 'Provenance', 'DependencyTracker', 'Licensing']","['URL', 'License']",,,['Automation'],,,,,,,,['Versioning'],['ProprietaryTool']
239,R_2q9OkXfkfd1mKNK,"['Security', 'DependencyTracker', 'Licensing']","['Name', 'License', 'CreationTime', 'Version']",,,['LanguageSpecificTools'],"['ThirdParty', 'DeliveredWithArtifact']","['Licensing', 'LocateSecurityIssues', 'SatisfiedRequirements']",,"['EnvironmentSupport', 'ImplementationDifficulty']",['DependencyTracking'],['DifferentStandards'],,['BadAnswer'],['SBOM']
240,R_2Y2DOiMoGMWSQUx,['Security'],['BadAnswer'],,,,,,,['Tooling'],,,,['ToolAssisted'],['BadAnswer']
241,R_1KiKqNbCINEHxXY,['DependencyTracker'],"['Identifier', 'Version', 'Dependencies', 'Compiler', 'ToolSupport']",,,"['FasterGeneration', 'SbomsTooLarge']",,,,['SbomsTooLarge'],['Transparency'],['DifferentStandards'],,['ToolAssisted'],['PackageManager']
251,R_2AQHobX7zarEkVF,"['DependencyTracker', 'Versioning', 'MachineReadable']",,,,['NoDeficiencies'],,,,,,,,['ReadDescription'],['PackageManager']
254,R_6hvm6eM6zWh1LpL,"['Versioning', 'Licensing', 'DependencyTracker']",,,,['NoDeficiencies'],['BadAnswer'],,,,['FastAndEasy'],['PoorQualitySboms'],,['ToolAssisted'],['ProprietaryTool']
272,R_uwgtDqxLmrDWQLf,"['DependencyTracker', 'RelationsInSystem']",['BadAnswer'],,,['IncludeReachabilityGraphs'],['ShouldBeSigned'],,,['FalsePositives'],,,,"['Versioning', 'CodeReview', 'ReadDescription']","['GitHub', 'PackageManager']"
280,R_2ZNqQzhlTfV14P2,"['Documentation', 'DependencyTracker', 'Security']",,,,,,,,,,,,"['CodeReview', 'Versioning']","['PackageManager', 'GitHub']"
281,R_eG8r0YjTDRCybL3,"['Provenance', 'DependencyTracker', 'Documentation']","['Checksum', 'CreationTime', 'URL', 'Identifier', 'Organization', 'License', 'Linking', 'Author', 'Dependencies', 'Vulnerabilities', 'MinimumElements']","['TooManyStandards', 'DifficultToAuthenticateData', 'Comprehension']",['Standardization'],['SupportRelatedOrganizations'],"['ShouldBeSigned', 'BlockChain']","['ImprovedQuality', 'Efficiency']",['ToolAssisted'],['UnavailableInformation'],"['DependencyTracking', 'FastAndEasy']","['Inconsistency', 'PoorQualitySboms']","['Forum', 'GoverningBodies', 'Hack-a-thon', 'Conference']","['ToolAssisted', 'CodeReview', 'Ad-hoc']","['PackageManager', 'ProprietaryTool', 'GitHub']"
282,R_3MtHobBp4TUfCnf,"['Security', 'DependencyTracker', 'Licensing', 'ToolTracking']",['BadAnswer'],"['UseCaseSupport', 'MissingFields']",['ImproveOverTime'],"['CompatibilityBetweenTools', 'HigherSbomQuality']",,,['BadAnswer'],"['NumberOfSBOMs', 'FastReleases', 'EndUserNeedsUnclear']",,['HardToGetSBOM'],,"['SecurityExperts', 'ReadDescription']",['BadAnswer']
