In JSON,Response ID,S1,S3,S5,S6,S8,S10,P4,P8,P9,C3,C7,Sm3,Sc8,Sc9
17,R_2X02uH9Mm87FxHp,"['DependencyTracker', 'Security', 'Licensing']",['BadAnswer'],['SbomDistribution'],['SupportRelatedOrganizations'],['SupportRelatedOrganizations'],['VendorDiscretion'],,['Database'],['Tooling'],,['Inconsistency'],['BadAnswer'],['ReadDescription'],['PackageManager']
18,R_bHpYNSKRMzkT17z,"['DependencyTracker', 'Licensing']",['MinimumElements'],['CheckingSbomQuality'],['Standardization'],"['LanguageAgnosticTools', 'ShowUnknowns']",,,,,,"['DifferentStandards', 'PoorQualitySboms']","['FreelyAvailable', 'ToolSupport']",,
38,R_1diviwEB1kpQfiN,"['DependencyTracker', 'Licensing', 'Security']",['URL'],"['Underspecification', 'Overspecification', 'Comprehension']",['Standardization'],['BadAnswer'],['BadAnswer'],"['DependencyManagement', 'Licensing']",['TiedToSoftwareVersion'],"['SpecificationComprehension', 'ImplementationDifficulty', 'InteroperabilityIssues']",,['PoorQualitySboms'],,"['ReadDescription', 'ToolAssisted']","['Scanner', 'CallGraph']"
219,R_1pXOYrzicaKEh9a,"['DependencyTracker', 'Language']",['Identifier'],['Tooling'],['Tooling'],['GenerateAccurateSbom'],,['LocateSecurityIssues'],"['ToolAssisted', 'ContinuousIntegration']",['PoorQualitySboms'],,"['Inconsistency', 'ToolBugs']",['GoverningBodies'],['ReadDescription'],['SBOM']
222,R_9t3tC0i9hMcu7wl,"['DependencyTracker', 'MachineReadable']","['Vulnerabilities', 'License', 'URL', 'Dependencies', 'Version', 'Identifier']",,,['LetFieldMature'],,,,['SbomGenerationSlow'],,,,['ToolAssisted'],['NotAddressed']
232,R_2zcJ4lHWpUWKJ2n,"['Provenance', 'Licensing', 'Versioning', 'DependencyTracker', 'Transparency', 'Accountability']","['Name', 'URL', 'CreationTime', 'Ecosystem', 'Version', 'License', 'Dependencies', 'Organization', 'Author']",,,"['HigherSbomQuality', 'SimplerTools', 'ChangeTracking', 'IntegrateSecurityTools', 'ReportGenerationTools', 'Automation']",,,,,,,,"['ReadDescription', 'ToolAssisted', 'Versioning']",['SBOM']
235,R_2yl8CXmByyorHTE,['DependencyTracker'],['Version'],['KeepingUpdated'],['Tooling'],['BadAnswer'],,,"['ToolAssisted', 'ContinuousIntegration']",['UnavailableInformation'],,['PoorQualitySboms'],['BadAnswer'],['ToolAssisted'],['PackageManager']
238,R_1dKyAHvfmPtEwpX,"['Versioning', 'Compliance', 'Security', 'Provenance', 'DependencyTracker', 'Licensing']","['URL', 'License']",,,['Automation'],,,,,,,,['Versioning'],['ProprietaryTool']
239,R_2q9OkXfkfd1mKNK,"['Security', 'DependencyTracker', 'Licensing']","['Name', 'License', 'CreationTime', 'Version']",,,['LanguageSpecificTools'],"['ThirdParty', 'DeliveredWithArtifact']","['Licensing', 'LocateSecurityIssues', 'SatisfiedRequirements']",,"['EnvironmentSupport', 'ImplementationDifficulty']",['DependencyTracking'],['DifferentStandards'],,['BadAnswer'],['SBOM']
241,R_1KiKqNbCINEHxXY,['DependencyTracker'],"['Identifier', 'Version', 'Dependencies', 'Compiler', 'ToolSupport']",,,"['FasterGeneration', 'SbomsTooLarge']",,,,['SbomsTooLarge'],['Transparency'],['DifferentStandards'],,['ToolAssisted'],['PackageManager']
242,R_1Cxae15gxzt2pNE,"['Provenance', 'DependencyTracker', 'Licensing']","['Vulnerabilities', 'URL', 'License', 'Dependencies']",,,['FocusOnExistingTools'],,,['TiedToSoftwareVersion'],"['SeparatedFromDevelopers', 'Tooling']",,,,,
272,R_uwgtDqxLmrDWQLf,"['DependencyTracker', 'RelationsInSystem']",['BadAnswer'],,,['IncludeReachabilityGraphs'],['ShouldBeSigned'],,,['FalsePositives'],,,,"['Versioning', 'CodeReview', 'ReadDescription']","['GitHub', 'PackageManager']"
281,R_eG8r0YjTDRCybL3,"['Provenance', 'DependencyTracker', 'Documentation']","['Checksum', 'CreationTime', 'URL', 'Identifier', 'Organization', 'License', 'Linking', 'Author', 'Dependencies', 'Vulnerabilities', 'MinimumElements']","['TooManyStandards', 'DifficultToAuthenticateData', 'Comprehension']",['Standardization'],['SupportRelatedOrganizations'],"['ShouldBeSigned', 'BlockChain']","['ImprovedQuality', 'Efficiency']",['ToolAssisted'],['UnavailableInformation'],"['DependencyTracking', 'FastAndEasy']","['Inconsistency', 'PoorQualitySboms']","['Forum', 'GoverningBodies', 'Hack-a-thon', 'Conference']","['ToolAssisted', 'CodeReview', 'Ad-hoc']","['PackageManager', 'ProprietaryTool', 'GitHub']"
282,R_3MtHobBp4TUfCnf,"['Security', 'DependencyTracker', 'Licensing', 'ToolTracking']",['BadAnswer'],"['UseCaseSupport', 'MissingFields']",['ImproveOverTime'],"['CompatibilityBetweenTools', 'HigherSbomQuality']",,,['BadAnswer'],"['NumberOfSBOMs', 'FastReleases', 'EndUserNeedsUnclear']",,['HardToGetSBOM'],,"['SecurityExperts', 'ReadDescription']",['BadAnswer']
