ResponseID,S4,S7,P7,C4,C5,T5,E2,E3,SC1,SC2,SC3,SC4,SC5,SC6,Q1,Q2,Q3,Q6,Q8,Q9,Q10
R_3fwNV4JCR7gYKCq,Strongly agree,Strongly agree,No,Once per month,Yes,,Strongly agree,Strongly agree,Strongly agree,Yes,Disagree,Disagree,Yes,No,3,DevOps Engineer,Bachelor's Degree,Both open source and closed source,"Yes, formal","Yes, formal",Never
R_uwgtDqxLmrDWQLf,Disagree,Disagree,,,,Disagree,,,Agree,Yes,Neutral,Disagree,Yes,Yes,20,Consultant,Master's Degree,Both open source and closed source,"Yes, informal",No,More frequently
R_2QyoYDd5Nw95V9i,Strongly agree,,No,,,,,,Strongly agree,Yes,Disagree,Disagree,No,,40,DevOps Engineer,Bachelor's Degree,Both open source and closed source,"Yes, formal","Yes, formal",Quarterly
R_1lmiszxqcb8G6Br,Neutral,,No,,,,,,Strongly agree,Yes,Agree,Disagree,No,,20,Engineering Leadership,Some college,Closed source only,"Yes, informal","Yes, informal",Quarterly
R_6JBdPlVxaRCxjah,Agree,,,,,,,,,Yes,Agree,Agree,No,,4,Project Lead,Master's Degree,,"Yes, informal","Yes, informal",
R_2ZNqQzhlTfV14P2,Disagree,,,,,,,,Strongly agree,Yes,Agree,Neutral,Yes,Yes,10,Government Affairs,Bachelor's Degree,,"Yes, informal","Yes, informal",
R_eG8r0YjTDRCybL3,Strongly agree,Neutral,Yes,Every day,Yes,Neutral,Neutral,Neutral,Strongly agree,Yes,Agree,Disagree,Yes,Yes,35,Consultant,Bachelor's Degree,Both open source and closed source,"Yes, informal","Yes, informal",More frequently
R_3MtHobBp4TUfCnf,Agree,Disagree,Yes,Every day,Yes,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Yes,Agree,Agree,Yes,Yes,25,Security Researcher,Doctoral Degree,Open source only,"Yes, formal","Yes, informal",Annually
R_3DezCyLeytdTqTe,Strongly agree,Disagree,No,Once per week,No,,,,Agree,Yes,Agree,Neutral,Yes,Yes,39,Programmer,Bachelor's Degree,Open source only,"Yes, informal","Yes, informal",Quarterly
R_1rPnXt5fSoW2ckE,Neutral,,No,,,,,,Strongly disagree,Yes,Agree,Disagree,No,,23,Full Stack Developer at VP level - Mix of business and Dev.,Some college,Both open source and closed source,"Yes, informal","Yes, informal",Quarterly
R_6JS2nMbliGrg85X,Agree,,,,,,,,Strongly agree,No,,,,,,Security Team,Bachelor's Degree,Closed source only,"Yes, formal","Yes, informal",Never
